year	doy	hour	Tair	Tsoil	RH	VPD	Rain	WS	PAR
2022	239	16	22.165	14.275	49.85	25.5185	0.6	0.809	1230.0
2022	239	17	23.635	14.725000000000001	48.85	97.0	0.6	0.868	1324.5
2022	239	18	24.225	14.71	46.7	97.0	0.6	0.924	1260.0
2022	239	19	24.335	14.67	45.835	96.9	0.0	0.8975	1181.5
2022	239	20	24.645	14.66	45.385000000000005	96.9	0.0	0.9235	1063.5
2022	239	21	24.275	14.66	48.635000000000005	96.9	0.0	0.7935	803.85
2022	239	22	23.31	14.655000000000001	51.14	96.85	0.6	0.7015	406.5
2022	239	23	20.560000000000002	14.65	64.45	96.85	0.0	0.42799999999999994	85.3
2022	240	0	16.71	14.64	83.97	96.9	0.0	0.1025	26.065
2022	240	1	14.25	14.63	96.65	96.85	0.0	0.078	0.0
2022	240	2	12.81	14.63	99.85	96.9	0.0	0.07150000000000001	0.0
2022	240	3	12.129999999999999	14.625	99.9	96.9	0.0	0.096	0.0
2022	240	4	11.705	14.63	99.9	96.85	0.0	0.1155	0.0
2022	240	5	11.42	14.64	99.9	96.9	0.0	0.079	0.0
2022	240	6	22.14	14.53	91.5	4.36	0.0	0.48	372.4
2022	240	7	22.91	14.54	90.85	95.95	0.0	0.5445	233.25
2022	240	8	22.645	14.55	93.4	95.9	0.0	0.4445	126.8
2022	240	9	21.835	14.56	97.6	95.9	0.0	0.5355	40.9925
2022	240	10	21.555	14.56	96.55000000000001	95.95	0.0	0.659	0.0
2022	240	11	21.27	14.57	98.85	95.85	0.0	0.556	0.0
2022	240	12	21.03	14.57	99.85	95.8	0.0	0.616	0.0
2022	240	13	21.165	14.585	99.95	95.9	0.0	0.734	0.0
2022	240	14	20.46	14.585	99.9	95.85	0.0	0.4285	0.0
2022	240	15	20.065	14.58	98.85	95.85	0.0	0.751	0.0
2022	240	16	19.134999999999998	14.58	92.85	95.9	0.0	0.7689999999999999	0.0
2022	240	17	18.395000000000003	14.58	93.7	95.9	0.0	0.6265000000000001	0.0
2022	240	18	18.615000000000002	14.585	96.3	95.9	0.0	0.745	0.0
2022	240	19	19.04	14.594999999999999	96.2	95.9	0.0	0.746	0.0
2022	240	20	19.4	14.6	95.5	95.85	0.0	0.6174999999999999	46.51
2022	240	21	19.87	14.6	94.55	95.9	0.0	0.6705000000000001	91.1
2022	240	22	20.39	14.605	93.15	95.9	0.0	0.7025	129.5
2022	240	23	20.590000000000003	14.614999999999998	93.0	95.85	0.0	0.5725	178.85000000000002
2022	241	0	20.795	14.625	93.15	95.85	0.0	0.5345	217.95
2022	241	1	21.505000000000003	14.635000000000002	90.8	95.8	0.0	0.653	461.5
2022	241	2	22.835	14.66	85.0	95.8	0.0	0.6825	615.7
2022	241	3	24.72	14.7	76.86000000000001	95.7	0.0	0.7255	917.5
2022	241	4	24.369999999999997	14.71	78.17	95.7	0.6	0.6735	440.6
1946	205	19	24.225	14.715	78.565	95.7	0.0	0.7715000000000001	485.65000000000003
1946	205	20	23.335	14.74	83.85	95.65	0.0	0.534	152.35000000000002
1946	205	21	22.475	14.754999999999999	89.65	95.6	0.0	0.5295	117.3
1946	205	22	21.615000000000002	14.754999999999999	94.5	95.7	0.0	0.3895	77.25999999999999
1946	205	23	21.145	14.774999999999999	96.1	95.69999999999999	0.0	0.356	0.0
1946	206	0	20.33	14.795	97.25	95.6	0.0	0.777	0.0
1946	206	1	18.655	14.805	99.9	95.55	0.0	0.4105	0.0
1946	206	2	18.165	14.825	99.9	95.5	0.0	0.33699999999999997	0.0
1946	206	3	17.035	14.83	99.9	95.55	0.0	0.2835	0.0
1946	206	4	16.240000000000002	14.815000000000001	99.9	95.6	0.0	0.17099999999999999	0.0
1946	206	5	15.375	14.815000000000001	99.9	95.6	0.0	0.185	0.0
1946	206	6	15.03	14.795	99.9	95.6	0.0	0.18	0.0
1946	206	7	15.29	14.785	99.9	95.6	0.0	0.309	0.0
1946	206	8	15.455	14.774999999999999	99.9	95.7	0.0	0.345	0.0
2022	243	1	14.97	14.77	99.9	95.6	0.0	0.353	0.0
2022	243	2	11.26	14.63	99.9	96.8	0.0	0.083	0.0
2022	243	3	11.120000000000001	14.625	99.9	96.85	0.0	0.082	0.0
2022	243	4	11.43	14.62	99.9	96.85	0.0	0.1355	0.0
2022	243	5	11.415	14.62	99.85	96.9	0.0	0.14550000000000002	0.0
2022	243	6	11.55	14.614999999999998	99.9	96.9	0.0	0.16249999999999998	0.0
2022	243	7	11.379999999999999	14.605	99.95	96.95	0.0	0.14850000000000002	0.0
2022	243	8	11.68	14.58	99.9	96.95	0.0	0.11699999999999999	49.405
2022	243	9	14.495000000000001	14.585	99.9	97.0	0.0	0.134	117.8
2022	243	10	17.455	14.605	99.85	96.95	0.0	0.3065	341.20000000000005
2022	243	11	21.685000000000002	14.65	62.69500000000001	97.0	0.0	0.484	537.65
2022	243	12	23.810000000000002	14.684999999999999	52.055	97.0	0.6	0.604	1101.5
2022	243	13	25.32	14.715	51.945	97.0	0.0	0.6719999999999999	1273.5
2022	243	14	26.505000000000003	14.72	48.975	97.0	0.0	0.6214999999999999	1363.5
2022	243	15	26.92	14.71	46.56	97.0	0.0	0.634	1363.0
2022	243	16	27.495	14.65	45.7	96.95	0.0	0.6214999999999999	1244.0
2022	243	17	27.479999999999997	14.635000000000002	46.54	96.95	0.0	0.6739999999999999	1067.0
2022	243	18	27.265	14.62	47.33	96.9	0.6	0.5680000000000001	882.0
2022	243	19	26.0	14.6	53.519999999999996	96.9	0.0	0.39849999999999997	413.95000000000005
2022	243	20	21.705	14.575	78.155	96.8	0.0	0.125	85.2
2022	243	21	18.785	14.545	94.05	96.8	0.0	0.04	28.185
2022	243	22	16.564999999999998	14.524999999999999	99.4	96.8	0.0	0.067	0.0
2022	243	23	15.32	14.52	99.9	96.9	0.0	0.0465	0.0
2022	244	0	14.434999999999999	14.51	99.9	96.85	0.0	0.051500000000000004	0.0
2022	244	1	13.845	14.52	99.9	96.9	0.0	0.047	0.0
2022	244	2	13.47	14.52	99.9	96.9	0.0	0.058499999999999996	0.0
2022	244	3	13.035	14.53	99.9	96.8	0.0	0.0445	0.0
2022	244	4	12.735	14.54	99.9	96.8	0.0	0.055999999999999994	0.0
2022	244	5	12.82	14.54	99.9	96.75	0.0	0.0775	0.0
2022	244	6	12.615	14.55	99.9	96.75	0.0	0.10400000000000001	0.0
2022	244	7	11.99	14.55	99.9	96.75	0.0	0.066	0.0
2022	244	8	11.8	14.54	99.9	96.7	0.0	0.0755	49.4
2022	244	9	14.7	14.55	99.9	96.75	0.0	0.137	132.3
2022	244	10	19.195	14.585	99.9	96.75	0.0	0.362	350.9
2022	244	11	23.630000000000003	14.65	72.525	96.7	0.0	0.5205	556.25
2022	244	12	25.95	14.71	59.675	96.7	0.0	0.5765	1087.5
2022	244	13	27.8	14.76	54.035	96.7	0.0	0.554	1251.5
2022	244	14	28.875	14.785	51.025	96.65	0.0	0.5660000000000001	1363.0
2022	244	15	29.355	14.78	48.31	96.6	0.0	0.6255	1362.5
2022	244	16	29.53	14.75	45.945	96.5	0.0	0.6105	1230.5
2022	244	17	29.715	14.74	46.144999999999996	96.45	0.0	0.6335	1057.0
2022	244	18	29.19	14.73	50.135	96.4	0.6	0.554	864.0
2022	244	19	26.744999999999997	14.71	60.19499999999999	96.35	1.2	0.378	399.6
2022	244	20	22.28	14.66	83.36	96.3	0.0	0.122	85.2
2022	244	21	19.415	14.620000000000001	96.0	96.25	0.0	0.1095	24.625
2022	244	22	17.29	14.59	99.8	96.2	0.0	0.081	0.0
2022	244	23	16.314999999999998	14.565000000000001	99.9	96.25	0.0	0.1165	0.0
2022	245	0	15.84	14.55	99.95	96.2	0.0	0.123	0.0
2022	245	1	16.12	14.545	99.9	96.15	0.0	0.1565	0.0
2022	245	2	16.494999999999997	14.55	99.9	96.05	0.0	0.14900000000000002	0.0
2022	245	3	16.72	14.55	99.9	96.0	0.0	0.176	0.0
2022	245	4	17.505000000000003	14.555	99.9	96.0	0.0	0.20400000000000001	0.0
2022	245	5	17.765	14.565000000000001	99.9	95.9	0.0	0.22	0.0
2022	245	6	18.045	14.58	99.9	95.9	0.0	0.3395	0.0
2022	245	7	19.009999999999998	14.605	99.9	96.0	0.0	0.377	0.0
2022	245	8	19.985	14.635000000000002	97.75	96.0	0.0	0.5229999999999999	32.9875
2022	245	9	20.939999999999998	14.655000000000001	86.55	96.05	0.0	0.421	114.60000000000001
2022	245	10	22.805	14.684999999999999	78.555	96.15	0.0	0.4085	286.6
2022	245	11	24.185	14.735	70.025	96.2	0.0	0.683	501.95000000000005
2022	245	12	24.32	14.785	60.955	96.35	0.0	0.9045000000000001	1025.0
2022	245	13	24.950000000000003	14.83	54.965	96.4	0.0	0.98	1232.0
2022	245	14	24.585	14.855	50.945	96.45	0.0	0.9359999999999999	1163.0
2022	245	15	24.590000000000003	14.855	46.64	96.55	0.0	0.8955	1245.5
2022	245	16	24.51	14.82	46.265	96.65	0.0	0.963	1191.0
2022	245	17	23.85	14.81	48.28	96.75	0.0	0.8765000000000001	1033.5
2022	245	18	23.130000000000003	14.805	48.2	96.8	0.0	0.734	804.85
2022	245	19	21.564999999999998	14.785	51.245	96.9	0.0	0.5335000000000001	347.25
2022	245	20	19.37	14.765	59.370000000000005	97.0	0.0	0.449	85.3
2022	245	21	16.615000000000002	14.735	68.045	96.95	0.0	0.34099999999999997	18.25
2022	245	22	13.93	14.71	81.03	97.05	0.0	0.169	0.0
2022	245	23	13.190000000000001	14.68	87.55	97.2	0.0	0.2935	0.0
2022	246	0	13.035	14.67	87.05	97.35	0.0	0.23199999999999998	0.0
2022	246	1	12.075	14.655000000000001	92.69999999999999	97.3	0.0	0.2465	0.0
2022	246	2	12.215	14.65	89.9	97.4	0.0	0.3055	0.0
2022	246	3	11.055	14.64	92.25	97.5	0.0	0.21000000000000002	0.0
2022	246	4	9.739999999999998	14.614999999999998	98.5	97.55	0.0	0.195	0.0
2022	246	5	8.815000000000001	14.6	99.80000000000001	97.55	0.0	0.138	0.0
2022	246	6	7.5755	14.585	99.9	97.65	0.0	0.128	0.0
2022	246	7	6.022	14.56	99.85	97.75	0.0	0.121	0.0
2022	246	8	5.421	14.535	99.85	97.75	0.0	0.11649999999999999	37.318
2022	246	9	8.734	14.524999999999999	99.9	97.9	0.0	0.3025	142.15
2022	246	10	12.809999999999999	14.56	76.86	97.95	0.0	0.651	431.75
2022	246	11	14.42	14.61	61.33	98.0	0.0	0.623	437.85
2022	246	12	16.075	14.67	54.6	98.0	0.0	0.656	1089.5
2022	246	13	17.42	14.72	50.345	98.05	0.0	0.659	1249.0
2022	246	14	18.65	14.75	48.489999999999995	98.0	0.0	0.69	1365.0
2022	246	15	19.525	14.745000000000001	46.685	98.0	0.0	0.7155	1364.0
2022	246	16	20.14	14.705	46.97	98.0	0.0	0.6805000000000001	1217.0
2022	246	17	20.605	14.7	46.95	98.0	0.0	0.615	1038.0
2022	246	18	20.795	14.7	47.095	97.9	0.0	0.5315	870.0
2022	246	19	19.655	14.684999999999999	51.535	97.9	0.0	0.345	397.25
2022	246	20	15.935	14.645	72.99	97.85	0.0	0.14300000000000002	85.3
2022	246	21	12.39	14.61	92.2	97.85	0.0	0.089	15.405
2022	246	22	9.925	14.57	98.55	97.85	0.0	0.076	0.0
2022	246	23	8.629999999999999	14.524999999999999	99.9	97.9	0.0	0.1195	0.0
2022	247	0	8.0115	14.5	99.9	97.9	0.0	0.14350000000000002	0.0
2022	247	1	6.9145	14.475000000000001	99.9	97.95	0.0	0.1235	0.0
2022	247	2	6.746499999999999	14.44	99.9	97.9	0.0	0.2725	0.0
2022	247	3	6.228	14.415	99.9	97.9	0.0	0.1595	0.0
2022	247	4	5.060499999999999	14.385000000000002	99.9	97.9	0.0	0.1295	0.0
2022	247	5	4.6555	14.355	99.9	97.95	0.0	0.10300000000000001	0.0
2022	247	6	4.135	14.325	99.9	97.9	0.0	0.107	0.0
2022	247	7	3.919	14.295	99.9	97.85	0.0	0.1215	0.0
