year	doy	hour	Tair	Tsoil	RH	VPD	Rain	WS	PAR
2022	239	16	22.165	14.275	49.85	25.5185	0.6	0.809	1230.0
2022	239	17	23.635	14.725000000000001	48.85	97.0	0.6	0.868	1324.5
2022	239	18	24.225	14.71	46.7	97.0	0.6	0.924	1260.0
2022	239	19	24.335	14.67	45.835	96.9	0.0	0.8975	1181.5
2022	239	20	24.645	14.66	45.385000000000005	96.9	0.0	0.9235	1063.5
2022	239	21	24.275	14.66	48.635000000000005	96.9	0.0	0.7935	803.85
2022	239	22	23.31	14.655000000000001	51.14	96.85	0.6	0.7015	406.5
2022	239	23	20.560000000000002	14.65	64.45	96.85	0.0	0.42799999999999994	85.3
2022	240	0	16.71	14.64	83.97	96.9	0.0	0.1025	26.065
2022	240	1	14.25	14.63	96.65	96.85	0.0	0.078	0.0
2022	240	2	12.81	14.63	99.85	96.9	0.0	0.07150000000000001	0.0
2022	240	3	12.129999999999999	14.625	99.9	96.9	0.0	0.096	0.0
2022	240	4	11.705	14.63	99.9	96.85	0.0	0.1155	0.0
2022	240	5	11.42	14.64	99.9	96.9	0.0	0.079	0.0
2022	240	6	22.14	14.53	91.5	4.36	0.0	0.48	372.4
2022	240	7	22.91	14.54	90.85	95.95	0.0	0.5445	233.25
2022	240	8	22.645	14.55	93.4	95.9	0.0	0.4445	126.8
